name,followers_count,friends_count,favourites_count,statuses_count
Victoria's Secret,11490813,1236,4053,149686
girl posts,9830237,249113,72948,4877
People,7879529,1757,5133,200060
Nicole Polizzi,6959028,429,180,32360
Ebrahim Hemmatnia,5123029,0,5707,18503
vir sanghvi,4352624,45,5744,39684
McDonald's,3564075,14507,3533,419908
Alex Morgan,3554175,470,1881,4947
Inc.,2657686,1696,1245,217307
Pokémon GO,2645580,19,43,523
Too Sassy,2600391,204,784,14483
SUBWAY®,2470138,32526,10598,44269
Chicago Cubs,2436646,587,27943,70365
E Film Productions,2422385,157906,295658,319338
When Boys,2410292,38850,1690,161799
Engadget,2400966,283,1385,153857
Royal Dutch Airlines,2384129,66883,395,969485
Transport for London,2306592,179,1031,56925
Forever 21,2304421,599,4274,18618
