count,name
1226382,Shinobi Ninja
744394,CallingAllAstronauts
535389,TH1RT3EN
522934,Baby G
295886,Xbox Support
173931,Tesco
154726,Jeff Emmerson
153119,ComcastCares
145625,Food Tank
137886,Slack
135446,SwiftKey
127172,Codie Prevost Music
118963,Manchester Airport
107180,ASOS Here to Help
104409,British Airways
103661,Something Like Kites
102240,American Airlines
80301,Safaricom Care
78485,Dirk Hooper
77210,Verizon Support
67563,Most Wanted
66883,Royal Dutch Airlines
64742,Bank of America Help
61396,DellCares
58262,Jamba Juice
57043,Dunkin' Donuts
55891,Nordstrom
53763,Tom Shepherd
49565,AXS
48867,T-Mobile Help
46443,BRONNIE - stream #GetAGrip
46039,United Airlines
45604,Moe'sSouthwestGrill
40988,Argos Helpers
40913,#ThePersistence
40481,PayPal Support
40125,Peter Boykin Candidate For NC House District 58
38534,Delta
37657,Southwest Airlines
36942,Palmer Report
35440,Liz Szabo
35417,Cameron Gray
35012,anthony green
34275,David Papp
33971,Samsung Support USA
33928,Pedro da Costa
33857,Schlafly Beer
32526,SUBWAY®
32477,NAACP
32334,Wells Fargo
31945,Expedia
31464,Sprint Care
31242,Detroit Inst of Arts
29773,David Clinch
29108,Auntie Anne's
28624,Ask Citi
28610,Texans Cheerleaders
28347,MARCOME
28345,Constant Contact
28210,Adweek
27651,Famous Birthdays
27290,Jono Read
27148,Romy Raves
25931,Air Canada
24121,Rhett Power
23514,Nationwide UK
23014,Jimmy Star
22981,Infusionsoft
22948,CBN News
22405,Bell Support
22163,Donors Needed Urgently.
22077,Optimum Help
21753,Capital One
21572,Domino's Pizza UK
21284,Office Depot
21273,Just Eat UK
20149,TD Bank
20134,Vodafone UK
20130,ATTCares
19857,Matthew Schultz
19794,Chase Support
19542,Morrisons
19368,Umeme Limited
19116,Halifax
19029,Toyota USA
18914,Joe Walsh
18880,Erin Kotecki Vest
18827,Vera Sweeney
18559,Ask Spectrum
18525,9MobileNg
18260,Elayna Fernandez
18191,Hyatt Concierge
18073,Premier Inn
17365,Lloyds Bank
17288,Adobe Customer Care
16919,InsideView
16870,British Gas Help
16414,Moms Clean Air Force
16269,PNC Bank Help
15818,TD (Canada)
15774,Chris Duerr
15554,Jimmy John's
15528,Barclays UK Help
15453,Sharika Soal 🇺🇸
15424,Paytm Care
15294,ClassFlow
15082,✄ Rush Hair & Beauty
15056,Verizon Wireless CS
14904,WestJet
14850,Emirates Support
14507,McDonald's
14373,Great American Music Hall
13800,Standard Bank SA
13797,Alyaa Gad
13662,Co-op Food
13478,Air France
12831,The CMO Club
12766,Ocado
12752,UK Power Networks
12534,Mutual of Omaha
12478,Lowe's
12405,DStv Kenya
