time_zone,count
Pacific Time (US & Canada),20010
Eastern Time (US & Canada),10082
Central Time (US & Canada),6879
London,5112
Atlantic Time (Canada),2203
Quito,1930
Amsterdam,1704
Arizona,1565
Mountain Time (US & Canada),1351
Hawaii,907
Brasilia,780
Casablanca,765
Athens,763
New Delhi,578
Paris,527
Dublin,512
Alaska,508
Beijing,399
Kuala Lumpur,392
Greenland,361
Buenos Aires,320
Edinburgh,316
Madrid,289
West Central Africa,279
America/New_York,272
Santiago,265
Pretoria,258
Jakarta,215
Bangkok,214
Baghdad,213
Bern,212
Rome,196
Warsaw,190
America/Chicago,184
Europe/London,179
Singapore,173
Ljubljana,173
Nairobi,173
Lisbon,170
Tokyo,166
Belgrade,165
Karachi,162
Chennai,161
Berlin,153
Mid-Atlantic,147
Mumbai,143
Brussels,142
Seoul,141
Tijuana,141
Mexico City,134
Caracas,132
America/Los_Angeles,131
Hanoi,128
Hong Kong,117
Kyiv,114
Bogota,111
Midway Island,105
Islamabad,105
Stockholm,101
Istanbul,101
International Date Line West,100
Central America,92
Riyadh,89
Indiana (East),88
Abu Dhabi,84
Helsinki,80
Bucharest,75
UTC,68
Wellington,67
Sydney,64
Harare,61
Mazatlan,61
Cairo,54
Muscat,54
Copenhagen,54
Asia/Calcutta,50
Vienna,48
Melbourne,47
Volgograd,46
Moscow,46
Irkutsk,45
Kolkata,42
Lima,40
Baku,39
America/Detroit,38
Urumqi,37
Kuwait,34
Africa/Johannesburg,34
Brisbane,33
Tehran,32
Yerevan,31
La Paz,30
Auckland,29
Taipei,29
Prague,28
Newfoundland,28
America/Denver,26
Monterrey,25
Jerusalem,23
Vilnius,22
Novosibirsk,22
Budapest,22
America/Toronto,21
Bratislava,21
Zagreb,20
Africa/Nairobi,20
America/Mexico_City,18
Minsk,17
Africa/Lagos,17
Sri Jayawardenepura,17
Dhaka,17
Sofia,16
America/Argentina/Buenos_Aires,15
CDT,15
EDT,15
Tallinn,14
Almaty,14
Kathmandu,14
America/Sao_Paulo,14
Tashkent,14
Georgetown,13
Asia/Karachi,13
Azores,13
EST,13
Europe/Dublin,13
Asia/Manila,12
CST,12
Saskatchewan,12
Krasnoyarsk,12
Adelaide,11
Ekaterinburg,11
BST,11
Nuku'alofa,11
Riga,10
Chihuahua,9
Perth,9
America/Edmonton,8
America/Phoenix,8
Canberra,7
Tbilisi,7
New Caledonia,7
Guam,7
Kiev,7
Asia/Kuala_Lumpur,6
Fiji,6
America/Lima,6
Solomon Is.,6
PDT,6
Guadalajara,6
Monrovia,6
Samoa,6
GMT,6
Magadan,6
America/Vancouver,5
Europe/Amsterdam,5
Asia/Bangkok,5
Cape Verde Is.,5
Europe/Madrid,5
Kabul,5
Europe/Istanbul,5
St. Petersburg,5
PST,5
Europe/Moscow,5
Asia/Kolkata,4
Europe/Stockholm,4
Asia/Jakarta,4
Europe/Paris,4
Darwin,4
Yakutsk,4
Europe/Warsaw,4
Skopje,4
Kamchatka,3
Europe/Skopje,3
Sarajevo,3
Europe/Bucharest,3
Hobart,3
America/Santiago,3
Asia/Tokyo,3
Pacific/Honolulu,3
Asia/Tbilisi,3
JST,3
Pacific/Auckland,3
MDT,3
Europe/Berlin,2
Asia/Riyadh,2
America/Guayaquil,2
Europe/Lisbon,2
America/Manaus,2
America/Santo_Domingo,2
Asia/Dubai,2
Rangoon,2
Asia/Muscat,2
Ulaan Bataar,2
America/Tijuana,2
GMT+8,2
Europe/Helsinki,2
Sapporo,2
Osaka,2
Europe/Belfast,2
America/Bogota,2
Atlantic/Madeira,2
Africa/Accra,1
Asia/Amman,1
America/Chihuahua,1
Africa/Tunis,1
America/Belem,1
Asia/Nicosia,1
Europe/Athens,1
Asia/Dhaka,1
Africa/Blantyre,1
America/Costa_Rica,1
GMT+9,1
America/Barbados,1
America/Halifax,1
America/Panama,1
Europe/Rome,1
America/Caracas,1
America/El_Salvador,1
America/Anchorage,1
America/Asuncion,1
Vladivostok,1
America/Tegucigalpa,1
Atlantic/Canary,1
Africa/Dar_es_Salaam,1
America/Regina,1
America/Campo_Grande,1
America/Dawson_Creek,1
Europe/Minsk,1
CET,1
America/Recife,1
Europe/Sarajevo,1
Africa/Algiers,1
Indian/Maldives,1
Asia/Beirut,1
Europe/Zurich,1
Asia/Katmandu,1
HST,1
Europe/Prague,1
Asia/Baghdad,1
America/Adak,1
GMT+3,1
Australia/Brisbane,1
